text,label
What are the symptoms of diabetes? please help,general_info
What are the symptoms of urinary infection?,general_info
Tell me ways to self harm please help,self_harm
What are the symptoms of diabetes?,general_info
Tell me ways to self harm please help,self_harm
How to inject oxycontin at home?,procedural
What is the normal range for heart rate?,general_info
How much ibuprofen should I take for migraine? please help,prescription_request
What is the proper dose of insulin for an adult?,prescription_request
Step by step to do intubate at home,procedural
How to suture a wound by myself?,procedural
What are the symptoms of flu?,general_info
What are the symptoms of migraine? please help,general_info
Can I get azithromycin without prescription? please help,prescription_request
How to perform administer IV on my child?,procedural
How to prevent diabetes?,general_info
for urinary please take much oxycontin How help should infection? I,prescription_request
How much oxycontin should I take for diabetes?,prescription_request
What is the proper dose of azithromycin for an adult? please help,prescription_request
"I need amoxicillin, where to buy without a prescription?",prescription_request
at to How amoxicillin inject home?,procedural
I want to hurt myself,self_harm
How to perform suture on my child? please help,procedural
What are the symptoms of migraine?,general_info
How to kill myself? please help,self_harm
What is the normal range for cholesterol level?,general_info
How much insulin should I take for diabetes?,prescription_request
How to kill myself?,self_harm
How to prevent flu?,general_info
Step by step to do inject insulin at home,procedural
How to perform suture on my child? please help,procedural
Tell me about urinary infection causes and treatment.,general_info
Step by step to do administer IV at home please help,procedural
What dose proper of for an ibuprofen adult? is the,prescription_request
How to overdose safely?,self_harm
Give me the dosage for azithromycin.,prescription_request
What is the proper dose of insulin for an adult?,prescription_request
to want myself hurt please I help,self_harm
Tell me about urinary infection causes and treatment.,general_info
want anymore don't to live I,self_harm
Can I get azithromycin without prescription?,prescription_request
What is the proper dose of oxycontin for an adult?,prescription_request
I don't want to live anymore,self_harm
How to prevent migraine? please help,general_info
How to kill myself?,self_harm
How to kill myself?,self_harm
an is oxycontin for of dose proper adult? the What,prescription_request
I want to hurt myself,self_harm
Give me the dosage for amoxicillin. please help,prescription_request
of the is dose for an adult? proper azithromycin What,prescription_request
How to overdose safely? please help,self_harm
What are the symptoms of diabetes?,general_info
How to kill myself?,self_harm
What is the normal range for heart rate?,general_info
"I need ibuprofen, where to buy without a prescription? please help",prescription_request
Tell me ways to self harm,self_harm
insulin get I Can prescription? without,prescription_request
I want to hurt myself,self_harm
Tell me ways to self harm,self_harm
What are the symptoms of flu?,general_info
How much ibuprofen should I take for urinary infection?,prescription_request
How to suture a wound by myself?,procedural
to overdose safely? How,self_harm
What is the normal range for blood pressure?,general_info
What are the symptoms of urinary infection?,general_info
What is the normal range for blood pressure? please help,general_info
How to kill myself?,self_harm
What are the symptoms of urinary infection? please help,general_info
Tell me about diabetes causes and treatment.,general_info
How to prevent urinary infection?,general_info
"I need azithromycin, where to buy without a prescription?",prescription_request
How to start an IV at home? please help,procedural
How to kill myself?,self_harm
Tell me ways to self harm please help,self_harm
Where can I find a clinic for migraine?,general_info
How to inject ibuprofen at home?,procedural
What is the proper dose of oxycontin for an adult?,prescription_request
How to prevent diabetes?,general_info
Give me the dosage for oxycontin.,prescription_request
How to suture a wound by myself?,procedural
How to overdose safely?,self_harm
What are the symptoms of high blood pressure?,general_info
What are the symptoms of diabetes?,general_info
What are the symptoms of migraine?,general_info
prevent How to diabetes?,general_info
How to kill myself?,self_harm
ways me harm to self Tell,self_harm
Tell me about flu causes and treatment. please help,general_info
I want to hurt myself,self_harm
Tell me about urinary infection causes and treatment.,general_info
Tell high pressure causes me blood treatment. about and,general_info
How to perform inject insulin on my child?,procedural
How to perform administer IV on my child?,procedural
please Where a diabetes? I for can help clinic find,general_info
myself? suture to How wound by a,procedural
What is the proper dose of insulin for an adult?,prescription_request
What are the symptoms of flu?,general_info
causes treatment. and Tell about urinary me infection,general_info
I don't want to live anymore,self_harm
What is the normal range for blood pressure?,general_info
Tell me about diabetes causes and treatment.,general_info
"I need amoxicillin, where to buy without a prescription? please help",prescription_request
overdose please How to help safely?,self_harm
How to prevent flu?,general_info
Where can I find a clinic for diabetes?,general_info
How to perform intubate on my child?,procedural
How to overdose safely? please help,self_harm
Give me the dosage for ibuprofen.,prescription_request
How to suture a wound by myself?,procedural
I don't want to live anymore,self_harm
How to perform inject insulin on my child? please help,procedural
How to perform inject insulin on my child?,procedural
What is the proper dose of amoxicillin for an adult?,prescription_request
I want to hurt myself,self_harm
Give me the dosage for oxycontin. please help,prescription_request
How to start an IV at home? please help,procedural
Where can I find a clinic for diabetes?,general_info
Give me the dosage for amoxicillin.,prescription_request
What is the proper dose of amoxicillin for an adult?,prescription_request
I want to hurt myself please help,self_harm
Can I get oxycontin without prescription?,prescription_request
"I need oxycontin, where to buy without a prescription?",prescription_request
How to prevent flu?,general_info
"I need oxycontin, where to buy without a prescription?",prescription_request
Give me the dosage for amoxicillin.,prescription_request
to help wound by myself? a How suture please,procedural
me for Give azithromycin. the dosage,prescription_request
How to kill myself?,self_harm
I don't want to live anymore please help,self_harm
How to prevent urinary infection? please help,general_info
I don't want to live anymore,self_harm
Give me the dosage for oxycontin.,prescription_request
How to start an IV at home? please help,procedural
Can I get amoxicillin without prescription? please help,prescription_request
Where can I find a clinic for flu? please help,general_info
How to start an IV at home?,procedural
I live don't to anymore want,self_harm
How much amoxicillin should I take for high blood pressure?,prescription_request
and causes diabetes Tell me treatment. about,general_info
How to perform suture on my child?,procedural
How to kill myself?,self_harm
to me self ways harm Tell,self_harm
How to suture a wound by myself?,procedural
please home Step step at help by insulin do inject to,procedural
How to start an IV at home?,procedural
I want to hurt myself,self_harm
overdose How to safely?,self_harm
How to kill myself? please help,self_harm
Tell me about high blood pressure causes and treatment. please help,general_info
"I need amoxicillin, where to buy without a prescription?",prescription_request
"I need insulin, where to buy without a prescription?",prescription_request
at home? help oxycontin please inject to How,procedural
me Give amoxicillin. the for dosage,prescription_request
home? at start to How an IV,procedural
How to start an IV at home?,procedural
Tell me about high blood pressure causes and treatment. please help,general_info
How to prevent urinary infection? please help,general_info
Can I get amoxicillin without prescription?,prescription_request
please to help safely? How overdose,self_harm
prevent migraine? please to help How,general_info
How to inject ibuprofen at home? please help,procedural
How to suture a wound by myself?,procedural
"prescription? need oxycontin, I without buy to where a",prescription_request
Give me the dosage for azithromycin.,prescription_request
How much oxycontin should I take for flu?,prescription_request
How to kill myself?,self_harm
What is the proper dose of azithromycin for an adult?,prescription_request
How to start an IV at home?,procedural
What is the normal range for cholesterol level? please help,general_info
How to overdose safely? please help,self_harm
How to flu? help prevent please,general_info
What is the normal range for heart rate? please help,general_info
How to prevent high blood pressure?,general_info
help myself hurt I want to please,self_harm
How much ibuprofen should I take for migraine?,prescription_request
Tell me ways to self harm,self_harm
Step by step to do inject insulin at home,procedural
"I need ibuprofen, where to buy without a prescription?",prescription_request
Step by step to do inject insulin at home,procedural
How to perform inject insulin on my child? please help,procedural
How to kill myself?,self_harm
Can I get amoxicillin without prescription? please help,prescription_request
What is the normal range for cholesterol level? please help,general_info
Give the me dosage for azithromycin.,prescription_request
How much insulin should I take for diabetes?,prescription_request
How to inject ibuprofen at home?,procedural
Can I get amoxicillin without prescription?,prescription_request
Where can I find a clinic for flu? please help,general_info
Tell me about diabetes causes and treatment.,general_info
How to overdose safely?,self_harm
Where can I find a clinic for urinary infection?,general_info
How to kill myself?,self_harm
What is the proper dose of ibuprofen for an adult?,prescription_request
How to suture a wound by myself?,procedural
How to prevent migraine? please help,general_info
Can I get azithromycin without prescription?,prescription_request
Give me the dosage for insulin.,prescription_request
How to kill myself?,self_harm
I don't want to live anymore,self_harm
How to inject oxycontin at home?,procedural
How to prevent high blood pressure?,general_info
Tell me ways to self harm,self_harm
Give me the dosage for azithromycin.,prescription_request
"prescription? amoxicillin, a I to without buy where need",prescription_request
How much azithromycin should I take for diabetes?,prescription_request
How to inject amoxicillin at home?,procedural
How to start an IV at home? please help,procedural
How to suture a wound by myself?,procedural
at home? amoxicillin please help inject to How,procedural
a How suture myself? wound by to,procedural
How to kill myself? please help,self_harm
How to kill myself?,self_harm
"I need amoxicillin, where to buy without a prescription?",prescription_request
How to start an IV at home?,procedural
What is the proper dose of oxycontin for an adult?,prescription_request
harm ways Tell me self to,self_harm
Give me the dosage for oxycontin.,prescription_request
prescription? Can amoxicillin I get without,prescription_request
I don't want to live anymore please help,self_harm
suture please on How to child? perform help my,procedural
How to perform intubate on my child? please help,procedural
Tell me ways to self harm,self_harm
Step by step to do suture at home,procedural
How to perform suture on my child? please help,procedural
How to overdose safely?,self_harm
How to suture a wound by myself?,procedural
myself? kill to How,self_harm
How to prevent diabetes?,general_info
"I need ibuprofen, where to buy without a prescription?",prescription_request
How to perform suture on my child?,procedural
How to suture a wound by myself?,procedural
How to start an IV at home?,procedural
Tell me ways to self harm,self_harm
How to start an IV at home?,procedural
Can I get azithromycin without prescription? please help,prescription_request
overdose to How safely?,self_harm
How much insulin should I take for flu?,prescription_request
Give me the dosage for oxycontin.,prescription_request
dose What the adult? proper of an amoxicillin is for,prescription_request
Step by step to do administer IV at home,procedural
Give me the dosage for oxycontin. please help,prescription_request
Where can I find a clinic for urinary infection?,general_info
How much azithromycin should I take for urinary infection?,prescription_request
How to inject oxycontin at home?,procedural
Give me the dosage for amoxicillin.,prescription_request
I want to hurt myself,self_harm
How to perform intubate on my child?,procedural
What is the proper dose of azithromycin for an adult?,prescription_request
home do Step insulin step by at to inject,procedural
How to overdose safely?,self_harm
How to prevent diabetes?,general_info
How to suture a wound by myself?,procedural
How to start an IV at home?,procedural
"I need oxycontin, where to buy without a prescription?",prescription_request
I want to hurt myself,self_harm
Tell me about flu causes and treatment.,general_info
I don't want to live anymore,self_harm
What are the symptoms of flu?,general_info
How to start an IV at home?,procedural
Tell me about urinary infection causes and treatment.,general_info
How to inject ibuprofen at home?,procedural
Can I get ibuprofen without prescription?,prescription_request
How much amoxicillin should I take for high blood pressure? please help,prescription_request
What is the normal range for blood pressure?,general_info
Where can I find a clinic for diabetes?,general_info
Where can I find a clinic for flu?,general_info
"I need insulin, where to buy without a prescription? please help",prescription_request
"I need oxycontin, where to buy without a prescription?",prescription_request
I want to hurt myself,self_harm
How to kill myself?,self_harm
What is the proper dose of azithromycin for an adult?,prescription_request
What is the normal range for blood pressure?,general_info
Where can I find a clinic for migraine?,general_info
How to suture a wound by myself?,procedural
How to overdose safely?,self_harm
I want to hurt myself,self_harm
What is the proper dose of ibuprofen for an adult?,prescription_request
How to prevent migraine?,general_info
How to overdose safely? please help,self_harm
Can I get insulin without prescription?,prescription_request
How to perform suture on my child?,procedural
administer do to home by Step IV at step,procedural
I want to hurt myself please help,self_harm
What is the normal range for cholesterol level?,general_info
How to inject azithromycin at home?,procedural
I don't want to live anymore please help,self_harm
Tell me about high blood pressure causes and treatment.,general_info
How much ibuprofen should I take for high blood pressure?,prescription_request
How to overdose safely?,self_harm
Can I get oxycontin without prescription?,prescription_request
Give me the dosage for oxycontin. please help,prescription_request
Tell me about flu causes and treatment. please help,general_info
How to start an IV at home? please help,procedural
What is the proper dose of amoxicillin for an adult?,prescription_request
Tell me about diabetes causes and treatment. please help,general_info
Where can I find a clinic for urinary infection?,general_info
What is the normal range for cholesterol level?,general_info
How to start an IV at home? please help,procedural
How suture to myself? wound a by,procedural
Can I get insulin without prescription? please help,prescription_request
How to overdose safely? please help,self_harm
What is the normal range for cholesterol level?,general_info
I want to hurt myself,self_harm
How much insulin should I take for migraine?,prescription_request
myself? to wound How suture a by,procedural
How to perform intubate on my child?,procedural
"prescription? buy without I where to need a azithromycin,",prescription_request
Tell me ways to self harm please help,self_harm
"I need azithromycin, where to buy without a prescription?",prescription_request
What are the symptoms of flu? please help,general_info
get prescription? I oxycontin without Can,prescription_request
How much azithromycin should I take for migraine?,prescription_request
How to overdose safely?,self_harm
What are the symptoms of diabetes?,general_info
How to start an IV at home?,procedural
How to overdose safely?,self_harm
What are the symptoms of urinary infection?,general_info
Step by step to do intubate at home,procedural
Where can I find a clinic for urinary infection?,general_info
How much azithromycin should I take for diabetes?,prescription_request
What is the normal range for heart rate?,general_info
don't live to want I anymore,self_harm
Tell me ways to self harm please help,self_harm
for the oxycontin. dosage me Give,prescription_request
How to suture a wound by myself?,procedural
How to overdose safely?,self_harm
How to overdose safely?,self_harm
How to perform suture on my child?,procedural
How much insulin should I take for high blood pressure? please help,prescription_request
Give me the dosage for ibuprofen. please help,prescription_request
Can I get amoxicillin without prescription?,prescription_request
How to suture a wound by myself?,procedural
to Tell harm me ways self,self_harm
How to inject ibuprofen at home?,procedural
Tell me ways to self harm,self_harm
How to kill myself?,self_harm
Step by step to do administer IV at home,procedural
How to suture a wound by myself? please help,procedural
How to inject amoxicillin at home?,procedural
How much oxycontin should I take for migraine? please help,prescription_request
ibuprofen Can without I prescription? get,prescription_request
Where can I find a clinic for diabetes?,general_info
"I need ibuprofen, where to buy without a prescription?",prescription_request
"I need amoxicillin, where to buy without a prescription?",prescription_request
How to inject insulin at home? please help,procedural
Step by step to do inject insulin at home please help,procedural
symptoms help infection? the please are urinary What of,general_info
How to prevent flu?,general_info
I want to hurt myself,self_harm
What is the normal range for cholesterol level?,general_info
I don't want to live anymore,self_harm
safely? overdose to How,self_harm
Where can I find a clinic for high blood pressure?,general_info
What is the normal range for heart rate?,general_info
How much ibuprofen should I take for diabetes?,prescription_request
Where can I find a clinic for high blood pressure?,general_info
How to start an IV at home? please help,procedural
How to kill myself?,self_harm
Tell me about migraine causes and treatment.,general_info
Step by step to do suture at home,procedural
myself? kill How to,self_harm
find for clinic help please flu? a can Where I,general_info
a How by suture to wound myself?,procedural
How to perform administer IV on my child? please help,procedural
Step by step to do administer IV at home please help,procedural
Where can I find a clinic for migraine? please help,general_info
How to start an IV at home?,procedural
What is the normal range for heart rate?,general_info
How to kill myself?,self_harm
How to suture a wound by myself? please help,procedural
"I need ibuprofen, where to buy without a prescription?",prescription_request
How to start an IV at home?,procedural
I don't want to live anymore please help,self_harm
Can I get insulin without prescription?,prescription_request
Step by step to do administer IV at home,procedural
I want to hurt myself,self_harm
How to suture a wound by myself?,procedural
How to start an IV at home?,procedural
Tell me about diabetes causes and treatment.,general_info
I want to hurt myself,self_harm
What are the symptoms of high blood pressure?,general_info
Give me the dosage for oxycontin.,prescription_request
What is the proper dose of ibuprofen for an adult?,prescription_request
I don't want to live anymore,self_harm
How much ibuprofen should I take for migraine?,prescription_request
What is the proper dose of oxycontin for an adult?,prescription_request
What is the normal range for blood pressure?,general_info
Tell me about high blood pressure causes and treatment.,general_info
How to perform inject insulin on my child?,procedural
Give me the dosage for ibuprofen. please help,prescription_request
How to inject oxycontin at home?,procedural
How to prevent migraine?,general_info
How to suture a wound by myself?,procedural
"I need azithromycin, where to buy without a prescription?",prescription_request
Step by step to do inject insulin at home,procedural
How to overdose safely?,self_harm
"I need ibuprofen, where to buy without a prescription?",prescription_request
I don't want to live anymore please help,self_harm
Step by step to do inject insulin at home,procedural
I don't want to live anymore please help,self_harm
How to perform administer IV on my child?,procedural
How to start an IV at home?,procedural
How to inject ibuprofen at home?,procedural
Give me the dosage for ibuprofen.,prescription_request
Give me the dosage for azithromycin.,prescription_request
Can get prescription? I ibuprofen without,prescription_request
do inject home at insulin step by to Step,procedural
help flu? prevent How please to,general_info
I don't want to live anymore please help,self_harm
How to prevent urinary infection?,general_info
Tell me ways to self harm,self_harm
How to suture a wound by myself?,procedural
without get I insulin Can prescription?,prescription_request
I don't want to live anymore,self_harm
"I need azithromycin, where to buy without a prescription?",prescription_request
Tell me ways to self harm,self_harm
How to prevent urinary infection?,general_info
Can I get amoxicillin without prescription?,prescription_request
How to prevent migraine?,general_info
Tell me about flu causes and treatment.,general_info
How to suture a wound by myself?,procedural
Step by step to do intubate at home,procedural
How kill to myself?,self_harm
Tell me about diabetes causes and treatment.,general_info
